CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
593,34,1,84045,2,1,1,86623,1
669,64,10,116859,1,1,1,141004,1
480,40,7,188490,4,0,1,63687,0
834,32,8,145544,1,1,0,78312,0
656,54,0,3471,4,0,1,117615,1
484,38,4,120312,1,0,0,140976,1
370,31,7,139401,4,0,1,37564,1
678,19,10,165937,3,0,0,38835,1
516,28,1,46850,1,0,1,17697,1
623,56,3,54220,1,1,0,90165,0
737,55,6,93808,3,1,0,158118,1
438,51,2,137469,3,0,0,67823,1
665,55,4,166597,1,1,0,194442,1
363,51,7,53072,3,0,0,19615,0
591,35,9,83820,2,0,0,146132,0
614,47,2,23284,4,0,1,140499,0
695,32,3,192402,4,1,1,86436,0
402,44,8,83369,4,0,0,130562,0
735,51,6,25122,2,0,0,81117,0
689,55,0,130349,3,1,0,44782,1
441,50,3,70553,3,1,0,88533,0
716,41,3,94788,1,1,1,199327,0
793,32,8,62812,3,0,0,82684,1
804,47,5,7999,1,0,1,197990,0
777,59,8,22436,2,1,1,89558,1
613,34,5,42963,4,0,0,91422,1
780,22,5,133168,4,1,0,166328,0
384,46,4,156351,4,1,1,171077,1
555,21,4,108899,3,0,1,16638,1
430,27,1,26201,1,0,0,47419,1
769,34,7,150787,1,1,0,43377,1
399,27,7,160381,2,1,0,116244,0
709,34,10,146150,3,1,1,184188,1
737,37,0,187686,2,1,1,177706,0
351,41,7,5105,1,0,0,33382,1
739,22,4,117666,1,1,1,197135,1
403,51,1,94848,4,1,1,163466,1
455,23,1,2839,3,1,0,77789,0
609,19,5,68920,1,0,0,120634,0
659,30,10,43619,4,0,1,141936,0
826,60,8,42821,3,1,1,109572,1
540,60,0,125736,2,0,0,181294,1
751,28,5,144565,3,0,0,154738,1
567,64,8,17069,3,0,0,133664,1
393,40,7,7531,1,1,0,162027,0
511,33,10,168123,1,1,0,120674,1
551,48,5,138808,3,0,1,113533,0
795,28,2,138782,1,1,1,91845,1
833,33,7,67155,1,1,1,79590,0
619,25,8,145047,1,0,1,137775,0
700,21,0,62424,4,0,0,76471,1
653,57,8,45603,4,1,0,53298,1
620,21,5,154324,3,0,0,58924,0
805,42,5,132503,1,1,1,157781,1
811,20,3,168553,4,1,1,19726,1
564,49,0,92573,3,0,1,50542,0
601,20,9,140629,1,1,0,161317,0
539,44,7,103302,2,1,1,44753,0
645,46,1,131234,1,0,0,89788,0
562,49,0,165814,1,0,0,31316,1
557,36,1,19675,4,0,0,94698,0
586,38,0,73997,3,1,0,25960,0
687,22,0,148087,3,0,0,40791,0
716,35,8,181129,4,0,0,35216,1
402,45,0,163663,1,0,1,173539,0
629,59,3,140905,2,0,0,74427,1
759,39,9,7896,1,1,0,122470,0
566,38,5,164044,1,1,1,83290,0
601,23,6,49733,2,0,0,57014,1
537,18,1,41800,4,1,1,145150,0
729,22,5,96044,3,0,1,60519,0
842,58,6,5347,4,0,1,14042,1
390,29,9,190135,4,1,0,59052,0
506,43,9,133715,1,1,0,24389,0
364,63,1,40785,3,0,1,105961,0
650,51,1,18681,3,0,0,78111,0
414,31,9,181098,4,1,0,115058,1
694,43,6,103864,2,0,1,103715,0
676,62,0,146964,4,1,1,60733,1
358,44,7,47299,2,0,0,44754,0
693,26,10,17073,3,0,1,159696,1
478,43,2,102304,4,1,1,95886,0
841,64,10,30682,1,1,1,167753,1
485,39,5,124302,4,1,0,99524,0
821,64,8,145361,3,1,0,91006,1
412,47,5,115359,1,1,0,34704,1
488,60,8,138999,1,1,1,104913,0
848,34,6,179402,2,1,0,104108,1
430,43,8,66707,1,0,1,17493,0
741,53,1,65428,1,0,0,79639,0
512,18,7,50601,4,0,0,64383,0
768,25,7,133611,3,1,1,144066,0
638,52,1,111487,2,1,0,57234,0
728,32,3,153741,4,1,1,188363,1
610,64,10,151716,1,0,0,138674,0
839,39,6,149817,1,1,0,15594,0
580,31,10,28228,2,1,1,17371,0
390,43,3,165593,3,0,1,57315,0
377,45,3,122788,2,1,1,137251,0
484,40,5,97239,4,0,0,89526,0
550,31,9,26928,2,0,0,157698,1
677,41,5,18322,1,1,0,96005,1
617,19,9,188786,4,1,1,115573,0
767,62,2,87896,1,1,1,148202,1
382,43,8,62292,3,0,1,147900,0
397,31,9,29055,1,0,0,67514,0
756,24,10,42891,1,0,0,193736,0
411,20,1,81912,2,1,1,158955,0
565,64,5,137660,1,1,0,184131,0
642,40,6,90536,4,1,1,184004,1
448,63,8,6304,4,1,0,85986,1
521,60,2,7345,3,0,0,95959,1
709,64,9,160372,4,0,1,12035,1
563,62,2,155331,2,0,0,119767,0
824,35,6,91006,3,0,0,181817,1
384,55,3,146424,4,1,1,27241,0
798,52,7,129350,2,1,1,62975,1
576,32,6,164437,4,1,0,164226,1
450,42,4,19446,4,0,1,166697,1
780,54,6,2336,1,0,0,186022,1
811,45,2,62032,4,1,1,66396,0
480,27,1,97852,4,1,0,128920,1
606,56,5,138593,2,0,0,154403,1
354,34,1,154553,2,1,1,96226,0
567,56,2,18474,1,0,0,94719,0
604,39,5,177832,4,0,0,73014,1
747,43,4,55718,1,0,1,49346,0
708,61,7,44629,4,1,1,80411,0
632,42,8,45232,3,1,0,195550,0
742,34,10,86544,3,0,1,153326,1
556,30,2,198241,1,1,1,196806,0
364,37,9,50669,1,0,0,169693,1
695,42,2,69184,1,0,0,86441,1
391,21,2,179017,2,0,1,56121,1
729,27,5,13140,2,0,1,70197,1
810,20,0,126468,2,1,1,94577,0
528,58,6,83457,1,0,0,104634,1
412,62,0,14357,4,0,0,183503,0
701,35,4,111672,3,1,0,110211,1
580,64,9,68673,1,0,0,145909,0
590,53,7,121673,2,0,0,190066,1
401,64,3,65633,2,1,0,153687,0
445,39,4,96111,1,1,0,11466,1
737,51,3,78258,1,1,1,40771,1
571,64,3,143996,2,0,1,93886,0
834,25,7,69286,4,1,0,75911,1
756,57,1,93269,2,1,0,161818,1
580,61,0,74071,2,0,0,98422,1
586,36,2,188398,1,0,1,83369,0
492,59,8,30651,4,0,0,11893,1
520,58,3,70202,2,0,1,40573,1
378,54,9,48777,2,0,1,106907,0
385,23,4,148066,3,1,1,181946,0
362,43,1,67263,1,1,1,109956,0
509,51,3,190706,3,1,1,128580,0
676,62,1,100158,3,0,0,174439,0
536,23,1,10800,2,0,0,162271,1
592,54,3,37823,1,0,1,101404,1
435,50,5,63878,4,1,0,67724,1
633,39,6,18708,2,1,1,96133,0
415,38,9,143891,4,0,1,177477,1
519,23,2,63870,4,1,0,25989,0
394,23,2,9283,1,0,0,38931,0
411,21,9,161645,3,1,0,19290,1
790,47,5,78707,1,1,0,179439,0
483,28,2,162005,4,1,0,131136,0
633,47,1,5774,2,0,1,89878,1
377,48,7,142055,4,1,0,100477,0
457,41,4,96468,2,1,0,136299,0
393,26,0,96334,2,0,0,171205,1
689,20,2,18133,1,1,1,115686,0
635,48,9,146011,4,0,0,168124,0
795,57,7,781,3,0,1,117286,1
680,54,3,114586,4,0,0,50475,1
477,53,6,187772,4,0,0,92666,1
697,41,9,27624,3,0,1,106622,1
822,48,1,6823,1,1,0,198728,0
580,23,6,18489,4,0,0,145705,0
539,19,4,171033,4,0,1,158376,1
574,37,4,29118,2,0,0,117573,0
734,45,5,100417,4,0,1,56546,0
726,28,8,81816,3,1,1,17008,1
632,21,5,153335,2,0,1,58291,1
795,32,7,13565,1,1,1,168477,0
470,23,6,151426,2,0,1,46386,1
465,47,8,174023,3,1,0,100909,1
810,55,3,91179,3,0,0,161899,1
582,19,1,23648,2,0,0,43040,0
608,32,6,181801,1,1,1,70354,1
708,28,5,41971,2,0,1,88543,0
547,25,0,18658,1,1,1,28157,0
805,43,10,21253,2,0,1,45315,0
760,62,8,195238,3,1,0,45932,1
486,61,8,179635,4,0,0,162236,1
667,22,1,157462,4,0,1,155486,1
514,23,2,88664,1,1,1,155399,1
574,43,4,182650,1,0,0,123880,1
656,21,4,103850,1,0,1,142018,0
583,36,0,163730,3,0,1,24693,0
521,37,7,137924,2,0,1,37241,0
501,50,7,133623,3,0,0,125194,1
812,37,3,71947,4,0,0,105790,0
664,29,6,61001,1,1,1,156612,0
723,64,10,180231,2,1,0,82255,1
509,18,9,122775,4,1,1,182275,1
445,43,2,182779,4,0,1,166153,0
821,31,5,33243,4,1,0,21350,0
582,55,9,152872,3,0,1,196584,1
529,54,9,75939,1,0,1,66809,1
462,28,8,57828,4,0,0,111894,1
667,53,0,138311,1,0,1,107557,1
846,30,4,6710,3,1,1,183904,0
791,60,3,152456,4,0,1,169441,0
401,20,7,152110,3,1,0,41728,1
617,50,10,171918,3,0,1,27576,0
644,23,0,198893,1,1,0,170073,0
735,27,8,37991,4,1,1,93384,1
736,22,5,138043,3,1,1,10390,0
462,40,3,160211,4,1,1,55436,0
450,27,8,85445,1,1,1,21569,0
462,61,10,80257,3,1,0,154101,1
789,19,4,37711,1,0,0,32490,1
430,30,4,6530,4,1,1,55875,0
536,57,4,11116,4,0,1,15867,1
462,19,0,65794,1,1,1,90820,1
351,37,0,131354,2,0,1,109515,1
479,18,7,132970,3,1,1,19121,0
569,54,7,4135,4,1,1,11539,0
403,26,5,137701,4,0,1,158099,1
692,34,10,109472,3,1,1,137402,0
834,26,3,125147,1,1,0,84229,0
573,28,1,89087,1,1,0,149993,0
574,32,1,196103,1,0,0,60435,0
734,41,8,33380,2,1,1,151382,0
752,55,4,129951,2,0,1,73965,1
475,52,3,17071,4,1,1,121048,0
479,47,9,20074,1,1,0,106444,0
402,48,0,67843,3,0,1,79922,0
521,22,6,39901,4,1,0,107799,1
567,61,2,11205,3,1,1,103948,1
509,31,5,186733,4,0,0,153314,1
547,28,4,124661,2,1,0,18947,0
765,26,4,5906,4,0,0,58785,1
596,51,10,133663,2,0,1,129963,1
673,29,4,125576,4,0,0,10507,1
788,52,0,62987,1,1,1,168223,1
552,52,0,194442,3,0,1,21618,0
533,18,2,80685,1,0,1,84286,1
472,57,9,110454,4,1,1,26122,1
750,39,3,105487,4,0,1,148426,0
604,46,4,54400,4,1,0,119598,0
643,25,1,156222,2,1,1,172051,1
629,28,7,31852,3,1,1,96436,0
674,58,10,173942,3,1,1,193846,1
721,54,10,52756,4,0,1,146109,0
447,31,1,115357,4,0,1,38633,0
547,47,8,119052,2,0,0,34495,1
819,52,1,56481,1,0,0,74550,0
744,38,8,1283,1,0,1,46483,1
589,54,6,33691,3,1,0,123181,0
493,22,7,132197,2,0,0,44069,1
446,36,10,198137,4,0,1,148442,0
550,31,1,26170,3,0,0,129873,0
473,43,6,8438,2,1,1,126843,0
536,21,5,20095,1,1,0,81947,0
675,42,3,147226,2,0,0,180205,0
813,62,6,139076,1,1,0,105761,1
698,59,3,9752,2,0,1,123753,0
608,42,1,55426,3,0,0,141764,1
497,35,9,26819,1,1,0,38926,1
601,57,6,92051,3,1,1,109782,1
792,25,7,155289,3,0,1,114700,0
769,56,1,32994,1,0,0,83984,1
752,57,4,146108,1,1,1,184462,0
695,31,0,97756,4,0,0,59593,1
800,49,6,180488,4,1,0,85609,1
496,55,7,140659,4,0,1,15209,1
497,50,5,95665,3,1,1,136700,1
701,40,4,131717,3,0,1,147605,1
548,32,5,162002,4,0,0,96597,0
657,50,1,81835,3,1,1,17211,1
838,42,0,122232,3,0,0,19927,1
766,34,6,161162,1,0,1,127333,0
773,50,6,183214,1,1,0,165666,0
477,64,9,157547,3,0,1,86382,0
388,19,10,149960,4,0,0,149005,1
687,31,9,43732,2,0,1,113780,1
709,57,1,46305,4,1,0,50696,1
478,57,1,177109,2,1,1,77616,1
616,56,0,9346,4,1,1,147161,1
825,23,9,587,1,0,0,197620,1
790,23,7,12763,3,0,1,167195,0
822,20,7,190237,3,0,0,148869,0
783,24,0,69615,1,0,0,60013,1
500,25,10,167188,2,1,1,149418,1
764,59,7,120987,2,0,0,174744,1
827,32,8,91353,2,0,1,158725,1
647,64,3,95648,1,0,1,59556,1
448,46,0,25556,2,1,0,133723,0
612,50,0,59042,1,0,1,36140,0
601,47,2,18099,4,0,0,11184,1
493,56,4,109089,4,0,0,175565,0
695,44,4,176168,1,0,1,185220,1
461,53,8,144302,3,0,1,165918,1
849,46,9,160081,4,1,0,121361,1
409,55,1,33866,2,0,0,163267,0
718,50,1,105400,1,0,1,15606,0
351,54,5,84246,2,0,1,145028,1
734,44,8,76975,2,0,1,26555,0
653,50,0,172927,3,0,1,100385,0
603,21,8,81557,2,0,0,159762,1
489,39,8,137488,3,0,1,68502,0
802,19,8,72516,4,0,0,189921,0
386,27,4,186987,1,0,0,167419,1
509,22,8,149130,2,0,1,113844,1
358,27,10,171790,1,1,0,101321,0
582,50,3,32602,2,1,1,59056,1
448,55,1,189139,1,1,0,108234,0
496,30,5,158588,2,1,1,51850,1
653,48,3,129295,2,0,0,37843,1
557,64,5,87969,2,1,0,72320,1
480,53,2,132161,2,1,1,39793,1
753,62,5,168418,2,0,1,180588,0
501,41,1,141559,2,1,0,158929,1
403,32,1,155,2,1,0,29627,1
469,46,8,123950,2,0,1,71822,1
510,25,6,67494,2,0,0,193320,0
757,22,2,76229,1,0,1,65798,0
465,46,10,104648,3,1,0,185188,1
424,64,0,38547,2,1,1,85318,1
462,21,7,28795,3,0,0,114186,1
805,29,5,186368,2,0,1,97902,1
769,62,6,21447,2,1,1,169629,1
771,19,8,167670,1,0,0,81334,1
453,44,4,172886,4,1,1,116719,0
689,48,0,87960,4,0,0,133099,1
603,53,9,63278,1,0,1,183686,1
576,53,6,55077,3,1,1,22720,1
461,43,4,112782,4,0,1,67608,1
822,60,2,102932,1,0,0,117449,1
448,44,8,140600,1,0,1,112828,1
502,22,0,181172,4,1,0,136613,0
698,37,0,109869,3,0,1,82095,0
751,28,0,139251,1,0,0,115924,0
733,27,2,48781,2,0,0,106452,0
715,57,5,186339,3,0,0,97593,0
687,55,9,155024,3,0,1,176964,0
543,23,10,53798,4,0,0,116975,1
659,25,2,98696,4,1,1,87242,1
512,40,7,50939,2,1,0,126041,1
557,64,9,29516,1,0,0,136202,1
794,43,1,187598,4,1,0,87606,1
518,63,8,141521,4,1,0,133769,1
833,60,2,50290,3,0,1,128542,0
510,29,4,126688,4,1,0,116438,1
417,43,9,86661,4,1,0,10924,0
638,30,7,72954,4,1,1,61322,0
747,57,1,22746,4,1,0,167550,1
626,35,5,67990,3,1,0,81042,1
653,42,4,58810,2,1,0,56418,1
753,50,9,118362,2,1,0,110699,1
733,64,8,146295,1,1,1,100140,1
741,57,4,133669,4,0,1,21781,1
484,60,1,196749,3,0,0,146587,1
544,29,4,2659,1,1,1,127358,0
750,61,3,86516,1,1,1,46133,1
477,53,10,74567,2,0,0,107628,1
382,21,6,15037,3,1,1,86946,0
525,22,5,126498,3,1,0,95058,1
809,54,1,177810,3,0,1,150167,1
792,25,10,12109,2,0,1,161542,0
720,59,10,22010,2,0,1,53129,1
819,45,4,8787,2,1,0,18531,1
724,48,6,139544,2,1,1,47038,1
371,26,10,154455,2,0,0,97939,1
587,46,6,61709,4,0,0,52674,1
507,31,4,34518,4,1,1,137572,1
387,57,8,53909,3,0,0,39831,0
579,58,3,18351,1,1,1,67174,1
714,39,10,184402,3,1,0,21279,1
400,28,2,15282,1,0,0,179292,0
787,40,3,152850,2,0,1,70610,0
613,18,4,155336,1,1,1,193791,1
632,63,5,190747,3,0,1,63051,0
376,54,2,5075,3,0,1,66652,1
575,38,1,179526,1,0,0,75524,1
626,43,3,28365,4,0,0,16470,0
635,63,4,179272,2,1,0,182870,1
446,53,3,11002,2,1,1,63473,1
633,40,10,13947,3,1,0,160952,0
716,18,2,94840,4,1,1,54439,0
797,57,7,116219,1,0,0,24308,0
830,32,9,78610,2,0,1,101563,0
802,38,3,52142,4,1,0,45081,1
666,64,1,56307,2,1,0,191455,0
653,26,1,135565,4,0,1,19837,0
496,26,0,50085,4,1,0,193223,0
353,27,3,34228,3,1,1,128128,0
384,43,9,182947,2,0,0,177896,0
541,58,8,162727,1,1,0,174145,1
398,52,10,43472,3,0,1,122651,0
366,42,6,49437,3,0,1,107624,1
521,43,9,180488,1,1,0,167371,0
569,28,6,59711,3,0,0,199933,0
507,55,6,137888,4,1,0,40063,0
826,19,7,77175,4,0,0,79453,0
395,24,0,64307,2,1,0,112166,0
722,35,9,46733,2,1,0,24506,0
355,44,9,128202,1,1,1,123604,0
448,51,7,95028,2,0,1,36026,0
729,44,3,142312,4,0,1,168744,1
582,34,3,92493,1,1,0,179489,0
386,60,3,125149,1,0,0,62413,1
629,61,5,163834,2,1,0,75066,0
698,41,6,8259,4,1,1,60971,1
846,42,5,181211,1,0,1,168353,0
651,24,0,128775,4,1,0,123978,0
530,23,7,14849,4,0,0,169163,0
444,41,9,81768,4,1,1,60494,1
448,50,10,106108,2,0,1,113864,1
537,46,6,89709,3,1,1,159682,1
830,60,5,54869,3,1,0,142151,1
465,39,5,126888,1,0,0,105386,0
540,43,4,63095,4,1,0,187823,0
602,45,5,117886,2,1,1,96126,0
818,38,8,70910,4,0,1,196504,1
765,24,9,23567,4,1,0,172023,0
820,34,8,35292,2,0,0,90863,1
510,37,9,74813,3,1,1,88291,1
605,58,7,97136,4,0,0,135659,1
672,37,9,51631,4,1,1,17235,1
477,39,8,9885,3,1,1,92733,1
367,45,9,190731,2,1,0,72712,0
630,57,7,185378,1,0,1,162545,1
839,24,7,66314,3,0,0,135849,1
572,18,0,65087,1,0,1,89823,0
403,49,9,160237,1,0,1,114215,1
407,30,10,190001,3,1,0,42230,1
672,47,4,198100,4,1,1,94573,0
709,40,3,95998,1,0,0,50644,0
523,36,1,49812,1,0,0,189736,0
629,49,7,181572,2,0,1,55203,1
463,47,2,58643,4,1,0,76677,0
637,46,3,44900,1,0,0,166497,0
780,62,6,174018,2,0,0,133246,0
691,46,9,138923,4,1,0,94817,1
500,47,8,16288,3,1,0,79806,0
799,33,1,72692,3,0,0,52814,1
476,57,2,198652,2,1,1,80219,1
504,36,3,138440,3,0,0,190718,0
839,35,9,85436,1,1,1,180956,1
735,18,0,46403,4,0,1,105345,1
823,31,6,91170,1,0,0,110088,0
622,64,1,9168,1,0,1,79322,1
453,19,4,49879,3,0,1,31650,0
766,45,0,59871,1,1,0,104242,1
742,47,2,32174,3,1,0,150262,1
648,55,1,137653,4,1,0,48196,0
595,21,0,110155,4,1,1,180521,0
525,18,6,71853,1,0,1,180733,1
388,25,4,64046,2,0,0,39709,1
826,46,0,49678,3,1,0,90428,0
519,56,5,26649,3,1,1,19943,1
596,20,4,127795,1,1,1,184312,1
375,49,2,88668,3,1,1,186832,1
704,27,6,145639,3,1,1,31042,1
655,27,10,89906,2,0,0,53894,0
758,36,9,96019,2,0,1,147941,0
757,63,8,193016,1,0,1,66759,0
362,51,8,78002,2,1,1,115973,0
665,50,8,28803,1,1,1,54306,0
740,40,1,149302,4,1,0,118369,0
662,45,2,148934,1,1,0,196443,1
385,49,6,174427,4,0,1,161990,0
522,24,4,162331,1,0,1,38379,1
369,46,1,30795,3,1,0,130667,1
670,25,2,8770,2,0,0,144034,1
613,18,9,11093,4,0,1,154923,0
843,20,5,177643,1,1,1,127626,1
749,41,6,131265,2,1,0,186819,0
491,40,8,100311,1,1,0,135180,1
809,25,0,17569,2,1,0,62349,1
720,64,10,11190,2,1,0,197428,0
820,54,6,62824,1,1,0,155817,1
492,20,7,173824,4,0,0,15730,1
441,50,2,163399,4,0,1,154993,1
703,45,3,42070,3,1,0,29023,1
671,64,9,40197,2,0,0,186421,0
637,25,5,2261,3,1,0,136796,1
564,51,9,157584,3,1,0,91533,1
796,52,6,137788,1,1,1,93286,0
691,49,3,86795,1,1,1,51979,1
400,41,7,28933,1,0,0,32837,1
502,31,4,135450,2,1,1,156069,1
535,49,0,40583,1,0,1,114975,1
412,63,3,112082,1,1,1,186111,0
539,60,2,85371,2,1,1,30923,1
474,33,8,160105,2,1,1,18876,0
499,21,7,155072,4,0,1,70973,1
663,54,0,111032,1,1,0,143959,1
407,38,10,42604,1,1,0,52422,1
691,31,5,199408,1,1,0,61413,0
654,48,8,95074,4,0,0,112484,1
529,35,6,73869,1,0,0,143913,1
519,24,3,5410,4,0,1,38756,0
675,27,0,83375,3,1,0,81576,0
620,24,1,187116,4,0,0,128248,0
403,50,4,194387,3,1,1,20304,0
840,40,10,96055,1,0,1,40341,1
793,38,4,137868,3,0,0,145830,1
450,36,7,86716,4,1,1,158082,1
830,36,5,54245,2,0,1,137039,1
613,53,7,43056,3,1,1,172730,0
402,46,1,148781,3,1,1,190074,1
409,35,2,58557,1,0,0,142447,1
841,19,5,17543,4,1,1,109485,1
457,18,9,168490,3,1,0,32092,1
354,64,2,96038,3,0,0,141562,0
452,22,5,147796,3,0,1,13729,1
545,37,5,3828,3,1,1,147046,1
611,28,1,116656,2,0,1,128222,1
714,59,6,17087,4,1,0,95216,0
829,19,1,143677,1,1,1,93860,0
721,20,5,31337,1,0,1,106870,1
699,40,0,136554,2,0,1,31398,1
396,29,2,65333,4,0,1,44650,1
704,37,1,182024,3,0,1,162364,0
660,22,6,136535,2,1,0,113889,1
773,54,3,70448,4,1,1,13159,1
657,55,7,4648,3,0,1,108162,1
493,47,5,130576,2,0,1,112834,0
618,26,9,33623,4,1,0,158137,1
719,51,3,190228,1,1,1,31638,1
473,61,4,35634,1,1,0,11073,0
455,52,8,175674,4,1,0,187583,0
507,39,6,114598,1,0,1,39320,1
496,61,9,49334,4,1,1,44924,0
494,41,8,68648,3,1,1,181806,1
469,34,6,22054,4,0,0,78116,0
668,27,0,70028,3,1,0,181097,0
624,47,7,22207,2,1,0,12159,1
441,63,3,81554,4,0,0,58940,1
407,40,2,152458,2,0,0,89436,1
788,49,6,83276,1,0,0,24678,0
695,34,2,190590,3,1,1,188276,1
578,34,7,52781,4,1,1,153093,1
823,31,5,183852,2,0,0,147844,1
466,26,4,192512,3,0,1,77163,1
667,57,3,175271,3,1,1,164536,1
628,19,7,61035,1,0,0,61137,0
476,62,7,8210,1,0,0,171304,1
742,42,0,44363,3,0,1,71497,1
745,56,8,78279,3,1,0,110485,0
478,26,4,191420,4,1,0,192520,1
407,39,3,186356,3,1,1,115468,1
471,60,5,199919,4,1,0,10901,1
350,63,5,153504,3,1,1,97980,1
588,21,1,195161,1,1,1,117594,1
639,43,7,186470,4,0,1,12881,0
445,46,6,134393,2,1,1,39863,0
475,62,0,81348,1,1,1,146694,0
467,51,4,168455,4,0,0,142450,1
397,40,5,113816,4,1,0,55201,0
438,54,3,123053,2,1,0,69251,1
837,28,1,183965,4,0,0,82572,1
586,23,3,166892,3,0,1,49255,1
722,35,0,66262,2,0,1,73212,0
734,38,6,134832,1,1,0,60210,0
621,59,1,153262,1,0,1,135629,0
538,53,1,67411,3,1,0,32499,1
836,58,8,23377,1,1,0,112552,0
541,55,4,177809,4,1,0,192700,1
796,51,1,38211,4,1,1,71360,0
418,34,10,3744,3,0,1,145675,0
627,54,8,24995,1,0,1,137466,1
698,42,8,148049,1,1,1,95473,1
596,55,0,34542,3,0,0,153704,0
800,29,10,10651,2,1,1,171679,0
425,40,2,99239,1,1,1,101873,0
503,59,3,78931,2,1,1,75756,1
493,39,6,102112,1,0,0,188066,1
784,38,9,16715,1,1,0,66344,0
834,44,3,175481,1,1,1,194847,0
435,48,1,155378,1,0,1,148421,1
534,23,6,150158,4,0,1,81154,0
634,44,5,145448,2,0,1,37464,1
811,57,2,61350,2,0,0,183696,1
569,51,5,71425,1,1,1,131897,1
418,29,10,167708,1,0,1,47344,1
396,62,5,86120,2,1,1,93791,1
846,24,4,114889,4,0,0,165371,1
443,27,3,182721,3,0,0,189047,0
587,62,9,165682,3,0,1,142534,1
795,34,0,141130,2,0,1,130209,1
849,43,9,74637,1,0,1,91441,0
802,38,5,70194,1,0,1,100456,1
553,45,1,76917,4,1,1,91788,0
749,63,2,64200,3,0,0,181653,1
567,19,7,105848,4,0,0,24175,0
823,60,9,106022,3,0,0,147263,0
781,18,5,177691,2,0,1,93434,1
690,53,2,148226,3,1,0,94518,1
388,43,6,150611,4,0,0,76537,1
449,46,3,60058,4,0,0,125721,1
638,38,8,62068,4,0,1,57645,0
603,28,4,99932,2,0,1,33283,0
571,57,2,161445,3,1,0,96971,0
706,28,1,164226,3,0,1,102759,1
372,53,10,137103,4,1,0,112780,0
599,56,1,22785,3,0,0,171096,1
359,57,2,159741,1,1,0,190702,1
595,52,1,94475,1,1,0,40734,0
674,51,3,2282,1,0,1,10515,1
449,64,1,165696,3,0,1,120782,0
639,41,9,179510,2,1,1,76727,1
529,39,8,67534,2,1,1,119164,0
572,22,1,162777,2,0,0,56216,1
743,50,8,169316,2,1,1,81833,0
599,53,5,74964,1,1,0,68755,0
496,64,0,168509,1,1,1,37856,1
791,37,3,119006,4,0,1,83870,1
445,36,0,50583,3,1,1,165234,0
606,52,5,38392,3,1,0,147080,1
674,60,3,7461,2,1,0,17987,1
842,34,2,100123,1,0,0,106502,1
353,62,2,10516,2,0,0,144404,0
365,60,8,148586,4,1,1,76323,0
629,51,5,121251,3,0,0,180062,1
685,26,8,167340,3,1,0,19873,1
596,43,4,167860,2,0,1,177516,0
607,19,1,192121,4,0,1,176412,1
846,26,7,62493,3,1,0,115219,0
825,26,4,36027,4,0,1,15033,1
733,57,1,93547,4,0,0,83324,1
509,34,3,173921,2,0,1,25689,1
824,18,8,100127,1,1,0,119756,0
689,42,3,148930,2,0,0,10066,0
501,60,3,79003,1,0,0,124159,0
745,57,1,183467,4,1,0,186318,0
527,59,5,39758,1,0,0,17533,1
512,42,10,54312,4,0,1,125828,1
